diagnosis,finding,evoking_strength,frequency
Unspecified acquired hypothyroidism,numbness,1,0.037037037037037035
Unspecified acquired hypothyroidism,dizziness,1,0.037037037037037035
Unspecified acquired hypothyroidism,fatigue,1,0.037037037037037035
Unspecified acquired hypothyroidism,breast calcifications,1,0.037037037037037035
Unspecified acquired hypothyroidism,night sweats,1,0.037037037037037035
Unspecified acquired hypothyroidism,vaginal bleeding,1,0.037037037037037035
Unspecified acquired hypothyroidism,leg swelling,1,0.037037037037037035
Hypopotassemia,diarrhea,1,0.5
Hypopotassemia,fatigue,1,0.5
Chronic embolism and thrombosis of left femoral vein,shortness of breath,1,0.3333333333333333
Chronic embolism and thrombosis of left femoral vein,wheezing,1,0.3333333333333333
Chronic embolism and thrombosis of left femoral vein,cough,1,0.3333333333333333
"Fracture of subcondylar process of right mandible, initial encounter for open fracture",shortness of breath,1,0.5
"Fracture of subcondylar process of right mandible, initial encounter for open fracture",dizziness,1,0.5
"Pressure ulcer of sacral region, stage 2",shortness of breath,1,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",dizziness,1,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",cough,1,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",diarrhea,1,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",wheezing,1,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",abdominal pain,1,0.16666666666666666
"Malignant neoplasm of pancreas, part unspecified",shortness of breath,1,0.3333333333333333
"Malignant neoplasm of pancreas, part unspecified",abdominal pain,1,0.3333333333333333
"Malignant neoplasm of pancreas, part unspecified",diarrhea,1,0.3333333333333333
"Outcome of delivery, single liveborn",shortness of breath,1,0.2
"Outcome of delivery, single liveborn",dizziness,1,0.2
"Outcome of delivery, single liveborn",diarrhea,1,0.2
"Outcome of delivery, single liveborn",vaginal bleeding,1,0.2
"Outcome of delivery, single liveborn",abdominal pain,1,0.2
Rheumatic tricuspid insufficiency,shortness of breath,1,0.25
Rheumatic tricuspid insufficiency,fatigue,1,0.25
Rheumatic tricuspid insufficiency,diarrhea,1,0.25
Rheumatic tricuspid insufficiency,cough,1,0.25
Long term (current) use of anticoagulants,shortness of breath,1,0.2
Long term (current) use of anticoagulants,cough,1,0.13333333333333333
Long term (current) use of anticoagulants,diarrhea,1,0.13333333333333333
Long term (current) use of anticoagulants,leg swelling,1,0.13333333333333333
Long term (current) use of anticoagulants,abdominal pain,1,0.13333333333333333
Long term (current) use of anticoagulants,fatigue,1,0.13333333333333333
Long term (current) use of anticoagulants,numbness,1,0.06666666666666667
Long term (current) use of anticoagulants,foot pain,1,0.06666666666666667
Benign essential hypertension,pelvic pain,1,0.14285714285714285
Benign essential hypertension,dizziness,1,0.2857142857142857
Benign essential hypertension,abdominal pain,1,0.2857142857142857
Benign essential hypertension,diarrhea,1,0.2857142857142857
"Insomnia, unspecified",shortness of breath,1,0.12903225806451613
"Insomnia, unspecified",diarrhea,1,0.16129032258064516
"Insomnia, unspecified",cough,1,0.16129032258064516
"Insomnia, unspecified",headache,1,0.12903225806451613
"Insomnia, unspecified",abdominal pain,1,0.12903225806451613
"Insomnia, unspecified",night sweats,1,0.0967741935483871
"Insomnia, unspecified",fatigue,1,0.06451612903225806
"Insomnia, unspecified",brain lesions,1,0.03225806451612903
"Insomnia, unspecified",nausea and vomiting,1,0.03225806451612903
"Insomnia, unspecified",wheezing,1,0.03225806451612903
"Insomnia, unspecified",numbness,1,0.03225806451612903
"Osteoporosis, unspecified",numbness,1,0.2
"Osteoporosis, unspecified",shortness of breath,1,0.2
"Osteoporosis, unspecified",headache,1,0.2
"Osteoporosis, unspecified",dizziness,1,0.2
"Osteoporosis, unspecified",diarrhea,1,0.2
Type 2 diabetes mellitus with diabetic polyneuropathy,arm pain,1,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,blood clots,1,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,shoulder pain,1,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,dizziness,1,0.25
"Adverse effect of anticoagulants, initial encounter",shortness of breath,1,0.1
"Adverse effect of anticoagulants, initial encounter",cough,1,0.2
"Adverse effect of anticoagulants, initial encounter",fatigue,1,0.1
"Adverse effect of anticoagulants, initial encounter",diarrhea,1,0.2
"Adverse effect of anticoagulants, initial encounter",abdominal pain,1,0.1
"Adverse effect of anticoagulants, initial encounter",eye pain,1,0.1
"Adverse effect of anticoagulants, initial encounter",leg swelling,1,0.1
"Adverse effect of anticoagulants, initial encounter",night sweats,1,0.1
Acquired absence of intestine (large) (small),shortness of breath,1,0.1
Acquired absence of intestine (large) (small),nausea and vomiting,1,0.1
Acquired absence of intestine (large) (small),cough,1,0.1
Acquired absence of intestine (large) (small),foot pain,1,0.1
Acquired absence of intestine (large) (small),diarrhea,1,0.1
Acquired absence of intestine (large) (small),leg swelling,1,0.1
Acquired absence of intestine (large) (small),headache,1,0.1
Acquired absence of intestine (large) (small),abdominal pain,1,0.1
Acquired absence of intestine (large) (small),leg pain,1,0.1
Acquired absence of intestine (large) (small),night sweats,1,0.1
Unspecified protein-calorie malnutrition,headache,1,1.0
Unspecified essential hypertension,shortness of breath,1,0.1956521739130435
Unspecified essential hypertension,abdominal pain,1,0.13043478260869565
Unspecified essential hypertension,diarrhea,1,0.15217391304347827
Unspecified essential hypertension,cough,1,0.10869565217391304
Unspecified essential hypertension,blood clots,1,0.06521739130434782
Unspecified essential hypertension,wheezing,1,0.043478260869565216
Unspecified essential hypertension,leg pain,1,0.021739130434782608
Unspecified essential hypertension,ankle pain,1,0.021739130434782608
Unspecified essential hypertension,hip pain,1,0.021739130434782608
Unspecified essential hypertension,numbness,1,0.06521739130434782
Unspecified essential hypertension,headache,1,0.10869565217391304
Unspecified essential hypertension,shoulder pain,1,0.021739130434782608
Unspecified essential hypertension,dizziness,1,0.021739130434782608
Unspecified essential hypertension,night sweats,1,0.021739130434782608
"Intestinal infection due to other organism, not elsewhere classified",dizziness,1,0.25
"Intestinal infection due to other organism, not elsewhere classified",headache,1,0.25
"Intestinal infection due to other organism, not elsewhere classified",abdominal pain,1,0.25
"Intestinal infection due to other organism, not elsewhere classified",diarrhea,1,0.25
Hematoma complicating a procedure,cough,1,1.0
Personal history of venous thrombosis and embolism,shortness of breath,1,0.16666666666666666
Personal history of venous thrombosis and embolism,cough,1,0.16666666666666666
Personal history of venous thrombosis and embolism,diarrhea,1,0.16666666666666666
Personal history of venous thrombosis and embolism,vaginal bleeding,1,0.08333333333333333
Personal history of venous thrombosis and embolism,abdominal pain,1,0.08333333333333333
Personal history of venous thrombosis and embolism,wheezing,1,0.16666666666666666
Personal history of venous thrombosis and embolism,headache,1,0.08333333333333333
Personal history of venous thrombosis and embolism,joint pain,1,0.08333333333333333
"Congestive heart failure, unspecified",shortness of breath,1,0.2222222222222222
"Congestive heart failure, unspecified",hip pain,1,0.05555555555555555
"Congestive heart failure, unspecified",cough,1,0.16666666666666666
"Congestive heart failure, unspecified",diarrhea,1,0.16666666666666666
"Congestive heart failure, unspecified",leg swelling,1,0.05555555555555555
"Congestive heart failure, unspecified",dizziness,1,0.1111111111111111
"Congestive heart failure, unspecified",nausea and vomiting,1,0.05555555555555555
"Congestive heart failure, unspecified",wheezing,1,0.05555555555555555
"Congestive heart failure, unspecified",abdominal pain,1,0.05555555555555555
"Congestive heart failure, unspecified",petechiae,1,0.05555555555555555
"Vascular disorder of intestine, unspecified",dizziness,1,0.2
"Vascular disorder of intestine, unspecified",cough,1,0.2
"Vascular disorder of intestine, unspecified",foot pain,1,0.2
"Vascular disorder of intestine, unspecified",wheezing,1,0.2
"Vascular disorder of intestine, unspecified",abdominal pain,1,0.2
"Adverse effect of other antidysrhythmic drugs, initial encounter",shortness of breath,1,0.3333333333333333
"Adverse effect of other antidysrhythmic drugs, initial encounter",dizziness,1,0.3333333333333333
"Adverse effect of other antidysrhythmic drugs, initial encounter",fatigue,1,0.3333333333333333
Abdominal aneurysm without mention of rupture,arm pain,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,shortness of breath,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,shoulder pain,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,wheezing,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,numbness,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,joint pain,1,0.14285714285714285
Abdominal aneurysm without mention of rupture,night sweats,1,0.14285714285714285
History of fall,abdominal pain,1,0.5
History of fall,cough,1,0.5
Other retention of urine,diarrhea,1,1.0
Hypovolemia,abdominal pain,1,0.2
Hypovolemia,night sweats,1,0.1
Hypovolemia,diarrhea,1,0.2
Hypovolemia,wheezing,1,0.1
Hypovolemia,blood clots,1,0.2
Hypovolemia,dizziness,1,0.1
Hypovolemia,nausea and vomiting,1,0.1
Fistula of stomach and duodenum,elbow pain,1,0.25
Fistula of stomach and duodenum,shortness of breath,1,0.25
Fistula of stomach and duodenum,abdominal pain,1,0.25
Fistula of stomach and duodenum,cough,1,0.25
Antiphospholipid syndrome,shortness of breath,1,0.16666666666666666
Antiphospholipid syndrome,fatigue,1,0.16666666666666666
Antiphospholipid syndrome,cough,1,0.16666666666666666
Antiphospholipid syndrome,diarrhea,1,0.16666666666666666
Antiphospholipid syndrome,numbness,1,0.16666666666666666
Antiphospholipid syndrome,abdominal pain,1,0.16666666666666666
Atrial fibrillation,headache,1,0.09090909090909091
Atrial fibrillation,foot pain,1,0.045454545454545456
Atrial fibrillation,numbness,1,0.09090909090909091
Atrial fibrillation,fatigue,1,0.045454545454545456
Atrial fibrillation,shoulder pain,1,0.045454545454545456
Atrial fibrillation,abdominal pain,1,0.09090909090909091
Atrial fibrillation,shortness of breath,1,0.18181818181818182
Atrial fibrillation,dizziness,1,0.045454545454545456
Atrial fibrillation,diarrhea,1,0.09090909090909091
Atrial fibrillation,blood clots,1,0.045454545454545456
Atrial fibrillation,hip pain,1,0.045454545454545456
Atrial fibrillation,leg swelling,1,0.045454545454545456
Atrial fibrillation,cough,1,0.09090909090909091
Atrial fibrillation,wheezing,1,0.045454545454545456
"Neutropenia, unspecified",shortness of breath,1,0.14285714285714285
"Neutropenia, unspecified",cough,1,0.14285714285714285
"Neutropenia, unspecified",headache,1,0.14285714285714285
"Neutropenia, unspecified",abdominal pain,1,0.2857142857142857
"Neutropenia, unspecified",night sweats,1,0.14285714285714285
"Neutropenia, unspecified",dizziness,1,0.14285714285714285
Prepatellar bursitis,leg swelling,1,0.5
Prepatellar bursitis,leg pain,1,0.5
Adult failure to thrive,diarrhea,1,0.5
Adult failure to thrive,fatigue,1,0.5
Sepsis,leg swelling,1,0.25
Sepsis,abdominal pain,1,0.25
Sepsis,cough,1,0.25
Sepsis,diarrhea,1,0.25
Solitary pulmonary nodule,shortness of breath,1,0.16666666666666666
Solitary pulmonary nodule,wheezing,1,0.16666666666666666
Solitary pulmonary nodule,cough,1,0.3333333333333333
Solitary pulmonary nodule,headache,1,0.16666666666666666
Solitary pulmonary nodule,dizziness,1,0.16666666666666666
Posttraumatic stress disorder,diarrhea,1,1.0
"Ulcerative colitis, unspecified",shortness of breath,1,0.3333333333333333
"Ulcerative colitis, unspecified",dizziness,1,0.3333333333333333
"Ulcerative colitis, unspecified",abdominal pain,1,0.3333333333333333
Dissection of carotid artery,cough,1,1.0
Incomplete uterovaginal prolapse,vaginal bleeding,1,0.3333333333333333
Incomplete uterovaginal prolapse,abdominal pain,1,0.3333333333333333
Incomplete uterovaginal prolapse,vaginal discharge,1,0.3333333333333333
"Coagulation defect, unspecified",abdominal pain,1,0.4
"Coagulation defect, unspecified",cough,1,0.2
"Coagulation defect, unspecified",diarrhea,1,0.2
"Coagulation defect, unspecified",peeling skin,1,0.2
"Noninfective gastroenteritis and colitis, unspecified",shortness of breath,1,0.2
"Noninfective gastroenteritis and colitis, unspecified",fatigue,1,0.2
"Noninfective gastroenteritis and colitis, unspecified",diarrhea,1,0.2
"Noninfective gastroenteritis and colitis, unspecified",wheezing,1,0.2
"Noninfective gastroenteritis and colitis, unspecified",abdominal pain,1,0.2
Hyperkalemia,shortness of breath,1,0.125
Hyperkalemia,headache,1,0.125
Hyperkalemia,abdominal pain,1,0.25
Hyperkalemia,rectal bleeding,1,0.125
Hyperkalemia,petechiae,1,0.125
Hyperkalemia,diarrhea,1,0.125
Hyperkalemia,night sweats,1,0.125
"Acute kidney failure, unspecified",shortness of breath,1,0.17391304347826086
"Acute kidney failure, unspecified",headache,1,0.06521739130434782
"Acute kidney failure, unspecified",dizziness,1,0.043478260869565216
"Acute kidney failure, unspecified",cough,1,0.13043478260869565
"Acute kidney failure, unspecified",arm pain,1,0.021739130434782608
"Acute kidney failure, unspecified",abdominal pain,1,0.13043478260869565
"Acute kidney failure, unspecified",shoulder pain,1,0.021739130434782608
"Acute kidney failure, unspecified",diarrhea,1,0.13043478260869565
"Acute kidney failure, unspecified",nausea and vomiting,1,0.021739130434782608
"Acute kidney failure, unspecified",blood clots,1,0.043478260869565216
"Acute kidney failure, unspecified",foot pain,1,0.021739130434782608
"Acute kidney failure, unspecified",fatigue,1,0.021739130434782608
"Acute kidney failure, unspecified",night sweats,1,0.043478260869565216
"Acute kidney failure, unspecified",hip pain,1,0.06521739130434782
"Acute kidney failure, unspecified",wheezing,1,0.021739130434782608
"Acute kidney failure, unspecified",leg swelling,1,0.043478260869565216
"Pressure ulcer of right heel, stage 1",wheezing,1,0.5
"Pressure ulcer of right heel, stage 1",cough,1,0.5
Other and unspecified coagulation defects,shortness of breath,1,0.2
Other and unspecified coagulation defects,fatigue,1,0.2
Other and unspecified coagulation defects,cough,1,0.2
Other and unspecified coagulation defects,headache,1,0.2
Other and unspecified coagulation defects,numbness,1,0.2
Personal history of nicotine dependence,abdominal pain,1,0.2631578947368421
Personal history of nicotine dependence,diarrhea,1,0.21052631578947367
Personal history of nicotine dependence,shortness of breath,1,0.10526315789473684
Personal history of nicotine dependence,cough,1,0.15789473684210525
Personal history of nicotine dependence,wheezing,1,0.05263157894736842
Personal history of nicotine dependence,nausea and vomiting,1,0.10526315789473684
Personal history of nicotine dependence,leg swelling,1,0.05263157894736842
Personal history of nicotine dependence,headache,1,0.05263157894736842
Portal hypertension,shortness of breath,1,0.125
Portal hypertension,dizziness,1,0.125
Portal hypertension,cough,1,0.125
Portal hypertension,diarrhea,1,0.125
Portal hypertension,headache,1,0.125
Portal hypertension,abdominal pain,1,0.125
Portal hypertension,wheezing,1,0.125
Portal hypertension,night sweats,1,0.125
Other seasonal allergic rhinitis,vaginal bleeding,1,0.25
Other seasonal allergic rhinitis,abdominal pain,1,0.25
Other seasonal allergic rhinitis,diarrhea,1,0.25
Other seasonal allergic rhinitis,vaginal discharge,1,0.25
Lack of housing,shortness of breath,1,0.14285714285714285
