diagnosis,symptom,frequency
Esophageal reflux,abdominal pain,0.15789473684210525
Esophageal reflux,headache,0.07894736842105263
Esophageal reflux,fatigue,0.05263157894736842
Esophageal reflux,leg swelling,0.02631578947368421
Esophageal reflux,dizziness,0.02631578947368421
Esophageal reflux,hip pain,0.02631578947368421
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",numbness,0.15
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",headache,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",cough,0.25
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",ankle pain,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",wheezing,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",abdominal pain,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",diarrhea,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",shortness of breath,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",night sweats,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",fatigue,0.05
Unspecified viral hepatitis C without hepatic coma,dizziness,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,cough,0.2
Unspecified viral hepatitis C without hepatic coma,shortness of breath,0.13333333333333333
Unspecified viral hepatitis C without hepatic coma,unexplained weight loss,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,nausea and vomiting,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,abdominal pain,0.2
Unspecified viral hepatitis C without hepatic coma,headache,0.13333333333333333
Unspecified viral hepatitis C without hepatic coma,numbness,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,diarrhea,0.06666666666666667
Gastro-esophageal reflux disease without esophagitis,nausea and vomiting,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,abdominal pain,0.16216216216216217
Gastro-esophageal reflux disease without esophagitis,shortness of breath,0.16216216216216217
Gastro-esophageal reflux disease without esophagitis,fatigue,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,cough,0.13513513513513514
Gastro-esophageal reflux disease without esophagitis,diarrhea,0.10810810810810811
Gastro-esophageal reflux disease without esophagitis,night sweats,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,leg pain,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,numbness,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,joint pain,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,wheezing,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,shoulder pain,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,eye pain,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,headache,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,dizziness,0.02702702702702703
Unspecified intestinal obstruction,wheezing,0.08333333333333333
Unspecified intestinal obstruction,cough,0.16666666666666666
Unspecified intestinal obstruction,diarrhea,0.16666666666666666
Unspecified intestinal obstruction,abdominal pain,0.16666666666666666
Unspecified intestinal obstruction,petechiae,0.08333333333333333
Unspecified intestinal obstruction,numbness,0.08333333333333333
Unspecified intestinal obstruction,dizziness,0.08333333333333333
Unspecified intestinal obstruction,shortness of breath,0.08333333333333333
Unspecified intestinal obstruction,headache,0.08333333333333333
"Chronic kidney disease, Stage III (moderate)",shortness of breath,0.25
"Chronic kidney disease, Stage III (moderate)",fatigue,0.125
"Chronic kidney disease, Stage III (moderate)",wheezing,0.125
"Chronic kidney disease, Stage III (moderate)",cough,0.125
"Chronic kidney disease, Stage III (moderate)",leg pain,0.125
"Chronic kidney disease, Stage III (moderate)",abdominal pain,0.125
"Chronic kidney disease, Stage III (moderate)",headache,0.125
Personal history of tobacco use,wheezing,0.07142857142857142
Personal history of tobacco use,cough,0.21428571428571427
Personal history of tobacco use,shortness of breath,0.14285714285714285
Personal history of tobacco use,diarrhea,0.14285714285714285
Personal history of tobacco use,runny nose,0.07142857142857142
Personal history of tobacco use,abdominal pain,0.21428571428571427
Personal history of tobacco use,numbness,0.07142857142857142
Personal history of tobacco use,headache,0.07142857142857142
"Pressure ulcer of other site, unspecified stage",cough,0.3333333333333333
"Pressure ulcer of other site, unspecified stage",eosinophilia,0.3333333333333333
"Pressure ulcer of other site, unspecified stage",diarrhea,0.3333333333333333
Acidosis,cough,0.4
Acidosis,abdominal pain,0.2
Acidosis,numbness,0.2
Acidosis,headache,0.2
"Epilepsy, unspecified, not intractable, without status epilepticus",abdominal pain,0.5
"Epilepsy, unspecified, not intractable, without status epilepticus",headache,0.5
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,dizziness,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,cough,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,diarrhea,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,nausea and vomiting,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,abdominal pain,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,headache,0.16666666666666666
"Bronchiectasis, uncomplicated",wheezing,0.25
"Bronchiectasis, uncomplicated",cough,0.25
"Bronchiectasis, uncomplicated",shortness of breath,0.25
"Bronchiectasis, uncomplicated",leg swelling,0.25
"Thrombocytopenia, unspecified",abdominal pain,0.2
"Thrombocytopenia, unspecified",diarrhea,0.13333333333333333
"Thrombocytopenia, unspecified",blood clots,0.13333333333333333
"Thrombocytopenia, unspecified",fatigue,0.06666666666666667
"Thrombocytopenia, unspecified",dizziness,0.06666666666666667
"Thrombocytopenia, unspecified",wheezing,0.06666666666666667
"Thrombocytopenia, unspecified",cough,0.13333333333333333
"Thrombocytopenia, unspecified",shortness of breath,0.13333333333333333
"Thrombocytopenia, unspecified",headache,0.06666666666666667
Essential (primary) hypertension,numbness,0.09433962264150944
Essential (primary) hypertension,shortness of breath,0.1320754716981132
Essential (primary) hypertension,fatigue,0.09433962264150944
Essential (primary) hypertension,muscle pain,0.018867924528301886
Essential (primary) hypertension,petechiae,0.03773584905660377
Essential (primary) hypertension,cough,0.1320754716981132
Essential (primary) hypertension,night sweats,0.05660377358490566
Essential (primary) hypertension,diarrhea,0.05660377358490566
Essential (primary) hypertension,abdominal pain,0.11320754716981132
Essential (primary) hypertension,headache,0.09433962264150944
Essential (primary) hypertension,wheezing,0.07547169811320754
Essential (primary) hypertension,blood clots,0.03773584905660377
Essential (primary) hypertension,dizziness,0.03773584905660377
Essential (primary) hypertension,leg pain,0.018867924528301886
Unspecified acquired hypothyroidism,wheezing,0.037037037037037035
Unspecified acquired hypothyroidism,cough,0.18518518518518517
Unspecified acquired hypothyroidism,shortness of breath,0.14814814814814814
Unspecified acquired hypothyroidism,diarrhea,0.1111111111111111
Unspecified acquired hypothyroidism,abdominal pain,0.14814814814814814
Unspecified acquired hypothyroidism,headache,0.1111111111111111
Unspecified acquired hypothyroidism,numbness,0.037037037037037035
Unspecified acquired hypothyroidism,dizziness,0.037037037037037035
Unspecified acquired hypothyroidism,fatigue,0.037037037037037035
Unspecified acquired hypothyroidism,breast calcifications,0.037037037037037035
Unspecified acquired hypothyroidism,night sweats,0.037037037037037035
Unspecified acquired hypothyroidism,vaginal bleeding,0.037037037037037035
Unspecified acquired hypothyroidism,leg swelling,0.037037037037037035
Hypopotassemia,diarrhea,0.5
Hypopotassemia,fatigue,0.5
Chronic embolism and thrombosis of left femoral vein,wheezing,0.3333333333333333
Chronic embolism and thrombosis of left femoral vein,cough,0.3333333333333333
Chronic embolism and thrombosis of left femoral vein,shortness of breath,0.3333333333333333
"Fracture of subcondylar process of right mandible, initial encounter for open fracture",shortness of breath,0.5
"Fracture of subcondylar process of right mandible, initial encounter for open fracture",dizziness,0.5
"Pressure ulcer of sacral region, stage 2",dizziness,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",wheezing,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",cough,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",shortness of breath,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",diarrhea,0.16666666666666666
"Pressure ulcer of sacral region, stage 2",abdominal pain,0.16666666666666666
"Malignant neoplasm of pancreas, part unspecified",shortness of breath,0.3333333333333333
"Malignant neoplasm of pancreas, part unspecified",abdominal pain,0.3333333333333333
"Malignant neoplasm of pancreas, part unspecified",diarrhea,0.3333333333333333
"Outcome of delivery, single liveborn",dizziness,0.2
"Outcome of delivery, single liveborn",vaginal bleeding,0.2
"Outcome of delivery, single liveborn",shortness of breath,0.2
"Outcome of delivery, single liveborn",diarrhea,0.2
"Outcome of delivery, single liveborn",abdominal pain,0.2
Rheumatic tricuspid insufficiency,cough,0.25
Rheumatic tricuspid insufficiency,diarrhea,0.25
Rheumatic tricuspid insufficiency,shortness of breath,0.25
Rheumatic tricuspid insufficiency,fatigue,0.25
Long term (current) use of anticoagulants,cough,0.13333333333333333
Long term (current) use of anticoagulants,diarrhea,0.13333333333333333
Long term (current) use of anticoagulants,shortness of breath,0.2
Long term (current) use of anticoagulants,abdominal pain,0.13333333333333333
Long term (current) use of anticoagulants,leg swelling,0.13333333333333333
Long term (current) use of anticoagulants,numbness,0.06666666666666667
Long term (current) use of anticoagulants,fatigue,0.13333333333333333
Long term (current) use of anticoagulants,foot pain,0.06666666666666667
Benign essential hypertension,abdominal pain,0.2857142857142857
Benign essential hypertension,diarrhea,0.2857142857142857
Benign essential hypertension,dizziness,0.2857142857142857
Benign essential hypertension,pelvic pain,0.14285714285714285
"Insomnia, unspecified",cough,0.16129032258064516
"Insomnia, unspecified",shortness of breath,0.12903225806451613
"Insomnia, unspecified",diarrhea,0.16129032258064516
"Insomnia, unspecified",night sweats,0.0967741935483871
"Insomnia, unspecified",abdominal pain,0.12903225806451613
"Insomnia, unspecified",headache,0.12903225806451613
"Insomnia, unspecified",fatigue,0.06451612903225806
"Insomnia, unspecified",brain lesions,0.03225806451612903
"Insomnia, unspecified",wheezing,0.03225806451612903
"Insomnia, unspecified",nausea and vomiting,0.03225806451612903
"Insomnia, unspecified",numbness,0.03225806451612903
"Osteoporosis, unspecified",numbness,0.2
"Osteoporosis, unspecified",shortness of breath,0.2
"Osteoporosis, unspecified",dizziness,0.2
"Osteoporosis, unspecified",diarrhea,0.2
"Osteoporosis, unspecified",headache,0.2
Type 2 diabetes mellitus with diabetic polyneuropathy,blood clots,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,shoulder pain,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,arm pain,0.25
Type 2 diabetes mellitus with diabetic polyneuropathy,dizziness,0.25
"Adverse effect of anticoagulants, initial encounter",fatigue,0.1
"Adverse effect of anticoagulants, initial encounter",cough,0.2
"Adverse effect of anticoagulants, initial encounter",diarrhea,0.2
"Adverse effect of anticoagulants, initial encounter",shortness of breath,0.1
"Adverse effect of anticoagulants, initial encounter",abdominal pain,0.1
"Adverse effect of anticoagulants, initial encounter",eye pain,0.1
"Adverse effect of anticoagulants, initial encounter",night sweats,0.1
"Adverse effect of anticoagulants, initial encounter",leg swelling,0.1
Acquired absence of intestine (large) (small),cough,0.1
Acquired absence of intestine (large) (small),shortness of breath,0.1
Acquired absence of intestine (large) (small),night sweats,0.1
Acquired absence of intestine (large) (small),diarrhea,0.1
Acquired absence of intestine (large) (small),nausea and vomiting,0.1
Acquired absence of intestine (large) (small),leg pain,0.1
Acquired absence of intestine (large) (small),abdominal pain,0.1
Acquired absence of intestine (large) (small),leg swelling,0.1
Acquired absence of intestine (large) (small),foot pain,0.1
Acquired absence of intestine (large) (small),headache,0.1
Unspecified protein-calorie malnutrition,headache,1.0
Unspecified essential hypertension,shortness of breath,0.1956521739130435
Unspecified essential hypertension,abdominal pain,0.13043478260869565
Unspecified essential hypertension,diarrhea,0.15217391304347827
Unspecified essential hypertension,wheezing,0.043478260869565216
Unspecified essential hypertension,cough,0.10869565217391304
Unspecified essential hypertension,blood clots,0.06521739130434782
Unspecified essential hypertension,leg pain,0.021739130434782608
Unspecified essential hypertension,ankle pain,0.021739130434782608
Unspecified essential hypertension,numbness,0.06521739130434782
Unspecified essential hypertension,hip pain,0.021739130434782608
Unspecified essential hypertension,headache,0.10869565217391304
Unspecified essential hypertension,shoulder pain,0.021739130434782608
Unspecified essential hypertension,dizziness,0.021739130434782608
Unspecified essential hypertension,night sweats,0.021739130434782608
"Intestinal infection due to other organism, not elsewhere classified",abdominal pain,0.25
"Intestinal infection due to other organism, not elsewhere classified",diarrhea,0.25
"Intestinal infection due to other organism, not elsewhere classified",dizziness,0.25
"Intestinal infection due to other organism, not elsewhere classified",headache,0.25
Hematoma complicating a procedure,cough,1.0
Personal history of venous thrombosis and embolism,vaginal bleeding,0.08333333333333333
Personal history of venous thrombosis and embolism,cough,0.16666666666666666
Personal history of venous thrombosis and embolism,shortness of breath,0.16666666666666666
Personal history of venous thrombosis and embolism,diarrhea,0.16666666666666666
Personal history of venous thrombosis and embolism,abdominal pain,0.08333333333333333
Personal history of venous thrombosis and embolism,wheezing,0.16666666666666666
Personal history of venous thrombosis and embolism,headache,0.08333333333333333
Personal history of venous thrombosis and embolism,joint pain,0.08333333333333333
"Congestive heart failure, unspecified",shortness of breath,0.2222222222222222
"Congestive heart failure, unspecified",hip pain,0.05555555555555555
"Congestive heart failure, unspecified",cough,0.16666666666666666
"Congestive heart failure, unspecified",diarrhea,0.16666666666666666
"Congestive heart failure, unspecified",dizziness,0.1111111111111111
"Congestive heart failure, unspecified",leg swelling,0.05555555555555555
"Congestive heart failure, unspecified",wheezing,0.05555555555555555
"Congestive heart failure, unspecified",nausea and vomiting,0.05555555555555555
"Congestive heart failure, unspecified",abdominal pain,0.05555555555555555
"Congestive heart failure, unspecified",petechiae,0.05555555555555555
"Vascular disorder of intestine, unspecified",dizziness,0.2
"Vascular disorder of intestine, unspecified",wheezing,0.2
"Vascular disorder of intestine, unspecified",cough,0.2
"Vascular disorder of intestine, unspecified",abdominal pain,0.2
"Vascular disorder of intestine, unspecified",foot pain,0.2
"Adverse effect of other antidysrhythmic drugs, initial encounter",shortness of breath,0.3333333333333333
"Adverse effect of other antidysrhythmic drugs, initial encounter",dizziness,0.3333333333333333
"Adverse effect of other antidysrhythmic drugs, initial encounter",fatigue,0.3333333333333333
Abdominal aneurysm without mention of rupture,numbness,0.14285714285714285
Abdominal aneurysm without mention of rupture,joint pain,0.14285714285714285
Abdominal aneurysm without mention of rupture,wheezing,0.14285714285714285
Abdominal aneurysm without mention of rupture,shoulder pain,0.14285714285714285
Abdominal aneurysm without mention of rupture,shortness of breath,0.14285714285714285
Abdominal aneurysm without mention of rupture,night sweats,0.14285714285714285
Abdominal aneurysm without mention of rupture,arm pain,0.14285714285714285
History of fall,cough,0.5
History of fall,abdominal pain,0.5
Other retention of urine,diarrhea,1.0
Hypovolemia,abdominal pain,0.2
Hypovolemia,night sweats,0.1
Hypovolemia,diarrhea,0.2
Hypovolemia,wheezing,0.1
Hypovolemia,blood clots,0.2
Hypovolemia,dizziness,0.1
Hypovolemia,nausea and vomiting,0.1
Fistula of stomach and duodenum,cough,0.25
Fistula of stomach and duodenum,abdominal pain,0.25
Fistula of stomach and duodenum,elbow pain,0.25
Fistula of stomach and duodenum,shortness of breath,0.25
Antiphospholipid syndrome,numbness,0.16666666666666666
Antiphospholipid syndrome,fatigue,0.16666666666666666
Antiphospholipid syndrome,cough,0.16666666666666666
Antiphospholipid syndrome,shortness of breath,0.16666666666666666
Antiphospholipid syndrome,diarrhea,0.16666666666666666
Antiphospholipid syndrome,abdominal pain,0.16666666666666666
Atrial fibrillation,headache,0.09090909090909091
Atrial fibrillation,shoulder pain,0.045454545454545456
Atrial fibrillation,numbness,0.09090909090909091
Atrial fibrillation,foot pain,0.045454545454545456
Atrial fibrillation,fatigue,0.045454545454545456
Atrial fibrillation,abdominal pain,0.09090909090909091
Atrial fibrillation,shortness of breath,0.18181818181818182
Atrial fibrillation,dizziness,0.045454545454545456
Atrial fibrillation,diarrhea,0.09090909090909091
Atrial fibrillation,blood clots,0.045454545454545456
Atrial fibrillation,hip pain,0.045454545454545456
Atrial fibrillation,cough,0.09090909090909091
Atrial fibrillation,leg swelling,0.045454545454545456
Atrial fibrillation,wheezing,0.045454545454545456
"Neutropenia, unspecified",cough,0.14285714285714285
"Neutropenia, unspecified",shortness of breath,0.14285714285714285
"Neutropenia, unspecified",night sweats,0.14285714285714285
"Neutropenia, unspecified",abdominal pain,0.2857142857142857
"Neutropenia, unspecified",headache,0.14285714285714285
"Neutropenia, unspecified",dizziness,0.14285714285714285
Prepatellar bursitis,leg pain,0.5
Prepatellar bursitis,leg swelling,0.5
Adult failure to thrive,diarrhea,0.5
Adult failure to thrive,fatigue,0.5
Sepsis,cough,0.25
Sepsis,abdominal pain,0.25
Sepsis,leg swelling,0.25
Sepsis,diarrhea,0.25
Solitary pulmonary nodule,wheezing,0.16666666666666666
Solitary pulmonary nodule,cough,0.3333333333333333
Solitary pulmonary nodule,shortness of breath,0.16666666666666666
Solitary pulmonary nodule,dizziness,0.16666666666666666
Solitary pulmonary nodule,headache,0.16666666666666666
Posttraumatic stress disorder,diarrhea,1.0
"Ulcerative colitis, unspecified",shortness of breath,0.3333333333333333
"Ulcerative colitis, unspecified",abdominal pain,0.3333333333333333
"Ulcerative colitis, unspecified",dizziness,0.3333333333333333
Dissection of carotid artery,cough,1.0
Incomplete uterovaginal prolapse,abdominal pain,0.3333333333333333
Incomplete uterovaginal prolapse,vaginal discharge,0.3333333333333333
Incomplete uterovaginal prolapse,vaginal bleeding,0.3333333333333333
"Coagulation defect, unspecified",abdominal pain,0.4
"Coagulation defect, unspecified",cough,0.2
"Coagulation defect, unspecified",diarrhea,0.2
"Coagulation defect, unspecified",peeling skin,0.2
"Noninfective gastroenteritis and colitis, unspecified",fatigue,0.2
"Noninfective gastroenteritis and colitis, unspecified",wheezing,0.2
"Noninfective gastroenteritis and colitis, unspecified",shortness of breath,0.2
"Noninfective gastroenteritis and colitis, unspecified",diarrhea,0.2
"Noninfective gastroenteritis and colitis, unspecified",abdominal pain,0.2
Hyperkalemia,abdominal pain,0.25
Hyperkalemia,rectal bleeding,0.125
Hyperkalemia,shortness of breath,0.125
Hyperkalemia,headache,0.125
Hyperkalemia,diarrhea,0.125
Hyperkalemia,night sweats,0.125
Hyperkalemia,petechiae,0.125
"Acute kidney failure, unspecified",cough,0.13043478260869565
"Acute kidney failure, unspecified",shortness of breath,0.17391304347826086
"Acute kidney failure, unspecified",dizziness,0.043478260869565216
"Acute kidney failure, unspecified",headache,0.06521739130434782
"Acute kidney failure, unspecified",shoulder pain,0.021739130434782608
"Acute kidney failure, unspecified",abdominal pain,0.13043478260869565
"Acute kidney failure, unspecified",arm pain,0.021739130434782608
"Acute kidney failure, unspecified",diarrhea,0.13043478260869565
"Acute kidney failure, unspecified",blood clots,0.043478260869565216
"Acute kidney failure, unspecified",nausea and vomiting,0.021739130434782608
"Acute kidney failure, unspecified",foot pain,0.021739130434782608
"Acute kidney failure, unspecified",fatigue,0.021739130434782608
"Acute kidney failure, unspecified",night sweats,0.043478260869565216
"Acute kidney failure, unspecified",hip pain,0.06521739130434782
"Acute kidney failure, unspecified",wheezing,0.021739130434782608
"Acute kidney failure, unspecified",leg swelling,0.043478260869565216
"Pressure ulcer of right heel, stage 1",wheezing,0.5
"Pressure ulcer of right heel, stage 1",cough,0.5
Other and unspecified coagulation defects,numbness,0.2
Other and unspecified coagulation defects,fatigue,0.2
Other and unspecified coagulation defects,cough,0.2
Other and unspecified coagulation defects,shortness of breath,0.2
Other and unspecified coagulation defects,headache,0.2
Personal history of nicotine dependence,abdominal pain,0.2631578947368421
Personal history of nicotine dependence,diarrhea,0.21052631578947367
Personal history of nicotine dependence,wheezing,0.05263157894736842
Personal history of nicotine dependence,cough,0.15789473684210525
Personal history of nicotine dependence,shortness of breath,0.10526315789473684
Personal history of nicotine dependence,nausea and vomiting,0.10526315789473684
Personal history of nicotine dependence,leg swelling,0.05263157894736842
Personal history of nicotine dependence,headache,0.05263157894736842
Portal hypertension,dizziness,0.125
Portal hypertension,wheezing,0.125
Portal hypertension,cough,0.125
Portal hypertension,shortness of breath,0.125
Portal hypertension,night sweats,0.125
Portal hypertension,diarrhea,0.125
Portal hypertension,abdominal pain,0.125
Portal hypertension,headache,0.125
Other seasonal allergic rhinitis,abdominal pain,0.25
Other seasonal allergic rhinitis,diarrhea,0.25
Other seasonal allergic rhinitis,vaginal discharge,0.25
Other seasonal allergic rhinitis,vaginal bleeding,0.25
Lack of housing,numbness,0.14285714285714285
Lack of housing,joint pain,0.14285714285714285
Lack of housing,cough,0.14285714285714285
Lack of housing,shortness of breath,0.14285714285714285
Lack of housing,night sweats,0.14285714285714285
Lack of housing,diarrhea,0.14285714285714285
Lack of housing,leg swelling,0.14285714285714285
Personal history of malignant neoplasm of breast,cough,0.2857142857142857
Personal history of malignant neoplasm of breast,numbness,0.14285714285714285
Personal history of malignant neoplasm of breast,shortness of breath,0.14285714285714285
Personal history of malignant neoplasm of breast,diarrhea,0.14285714285714285
Personal history of malignant neoplasm of breast,nasal congestion,0.14285714285714285
Personal history of malignant neoplasm of breast,fatigue,0.14285714285714285
Diaphragmatic hernia without obstruction or gangrene,numbness,0.25
Diaphragmatic hernia without obstruction or gangrene,abdominal pain,0.25
Diaphragmatic hernia without obstruction or gangrene,wheezing,0.25
Diaphragmatic hernia without obstruction or gangrene,shortness of breath,0.25
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",cough,0.2
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",abdominal pain,0.2
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",shortness of breath,0.1
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",diarrhea,0.2
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",numbness,0.1
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",fatigue,0.1
"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",wheezing,0.1
"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter",wheezing,0.14285714285714285
"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter",shortness of breath,0.14285714285714285
"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter",abdominal pain,0.14285714285714285
